island_id,pixel_area,bbox_x0,bbox_y0,bbox_x1,bbox_y1,centroid_u,centroid_v,root_to_tip_u,root_to_tip_v,face_count,mesh_names,part_counts,category_counts
51,862,2016,875,2023,1005,0.986755,0.5385999,-0.0066684,-0.9999778,20,pasted__pasted__polySurface26Shape,"{""braid"":20}","{""left_braid_low"":8,""left_braid_mid"":2,""right_braid_low"":8,""right_braid_mid"":2}"
52,5071,1869,884,1940,997,0.9308301,0.536318,-0.2964682,-0.9550427,68,pasted__pasted__polySurface26Shape,"{""braid"":68}","{""left_braid_low"":34,""right_braid_low"":34}"
53,5526,1944,884,2011,996,0.9660134,0.5383753,0.2123036,-0.9772038,74,pasted__pasted__polySurface26Shape,"{""braid"":74}","{""left_braid_low"":37,""right_braid_low"":37}"
54,5257,1243,886,1295,1073,0.6177333,0.5328008,-0.0476759,-0.9988629,10,polySurfaceShape68,"{""braid"":10}","{""left_braid_end"":10}"
55,10455,1423,887,1511,1074,0.7152402,0.533042,0.0372753,0.999305,6,polySurfaceShape68,"{""braid"":6}","{""left_braid_end"":6}"
56,22379,952,889,1041,1307,0.485775,0.4700418,-0.0025496,-0.9999967,14,polySurfaceShape68,"{""braid"":14}","{""left_braid_end"":14}"
57,9568,1316,891,1394,1074,0.6610191,0.5288779,0.0950739,0.9954702,5,polySurfaceShape68,"{""braid"":5}","{""left_braid_end"":5}"
58,54284,688,896,794,1567,0.3617663,0.4184223,-0.0007273,-0.9999997,24,polySurface80Shape,"{""side"":24}","{""side_left"":6,""side_left_upper"":8,""side_top_bridge"":10}"
59,3945,528,907,564,1060,0.2683665,0.5208805,0.0134853,-0.9999091,5,polySurface80Shape,"{""side"":5}","{""side_top_bridge"":5}"
60,2772,603,922,634,1054,0.3010413,0.5199616,-0.0053804,-0.9999855,5,polySurface80Shape,"{""side"":5}","{""side_top_bridge"":5}"
61,16849,1055,962,1134,1305,0.5343231,0.4632684,-0.0071344,-0.9999745,14,polySurfaceShape68,"{""braid"":14}","{""left_braid_end"":14}"
62,20164,1148,986,1234,1325,0.5828358,0.4370706,0.00842,-0.9999646,21,polySurfaceShape68,"{""braid"":21}","{""left_braid_end"":21}"
